condition,target_name,internal_target_id,mass_index,mass_isotopologue,mean_fraction,median_fraction,minimum_fraction,maximum_fraction,standard_deviation,state_count
condition0,aKG,akg,4,M+4,0.18649442984072159,0.18620262754451605,0.18309895571632839,0.19138262321573818,0.001774597390384247,100
condition0,aKG,akg,5,M+5,0.31757085392394463,0.31780552134147189,0.31422671017834219,0.31979735585109764,0.001250098964581361,100
condition0,Succinate,succinate,0,M+0,0.048437599478984766,0.048261239868553948,0.045491344938950823,0.0516804439019517,0.0013249108428467311,100
condition0,Succinate,succinate,1,M+1,0.081128104882421823,0.081744083954116892,0.072612437691130391,0.088454354849276356,0.0034155630863511046,100
condition0,Succinate,succinate,2,M+2,0.28412092647609399,0.28321156207411058,0.2723884234935991,0.29763704567979365,0.0054193379674553699,100
condition0,Succinate,succinate,3,M+3,0.19462343448460717,0.19528254355624164,0.18016681995921377,0.20789470870917054,0.0059605829799787144,100
condition0,Succinate,succinate,4,M+4,0.39168993467789198,0.39129330907020932,0.38577116800900424,0.39790325276790933,0.0026831663962432542,100
condition0,Fumarate,fumarate,0,M+0,0.048437599478984766,0.048261239868553948,0.045491344938950823,0.051680443901951693,0.0013249108428467313,100
condition0,Fumarate,fumarate,1,M+1,0.081128104882421823,0.081744083954116864,0.072612437691130377,0.088454354849276356,0.0034155630863511046,100
condition0,Fumarate,fumarate,2,M+2,0.28412092647609399,0.28321156207411058,0.2723884234935991,0.2976370456797936,0.0054193379674553725,100
condition0,Fumarate,fumarate,3,M+3,0.19462343448460717,0.19528254355624167,0.18016681995921374,0.20789470870917054,0.0059605829799787126,100
condition0,Fumarate,fumarate,4,M+4,0.39168993467789198,0.39129330907020932,0.38577116800900424,0.39790325276790933,0.0026831663962432564,100
condition0,Malate,malate,0,M+0,0.049411878471597358,0.04936134173822862,0.04657226058129111,0.054171498540732908,0.0012662646375594391,100
condition0,Malate,malate,1,M+1,0.07922039573104464,0.079324717265185335,0.070821284158639267,0.086471068831456027,0.0031055273977284052,100
condition0,Malate,malate,2,M+2,0.28731405800633864,0.28736233506544695,0.27575341527891889,0.30168595348230259,0.0049540026359131666,100
condition0,Malate,malate,3,M+3,0.19006318290779908,0.19037338392875536,0.16747824639654424,0.20279092062262793,0.0057716534760846932,100
condition0,Malate,malate,4,M+4,0.39399048488322003,0.39346305386638913,0.38841233468570463,0.40584301742178019,0.0027317200960263843,100
condition0,Glutamine,glutamine,0,M+0,0.022386359722792574,0.022420038131504096,0.021817054502635474,0.022782658286766504,0.00020639682875255529,100
condition0,Glutamine,glutamine,1,M+1,0.061262552686073696,0.061295241395099023,0.060859091262110331,0.061533862062095657,0.00016078473063360957,100
condition0,Glutamine,glutamine,2,M+2,0.13195195314808605,0.13191873015110558,0.1314678327563342,0.13255378835191037,0.00020666785991327023,100
condition0,Glutamine,glutamine,3,M+3,0.28033385067838107,0.28034348683265098,0.27910427789507081,0.28141426748852799,0.0004316412534887348,100
condition0,Glutamine,glutamine,4,M+4,0.18649442984072159,0.18620262754451605,0.18309895571632839,0.19138262321573818,0.0017745973903842468,100
condition0,Glutamine,glutamine,5,M+5,0.31757085392394468,0.31780552134147189,0.31422671017834219,0.31979735585109764,0.0012500989645813582,100
condition0,Aspartate,aspartate,0,M+0,0.058844533530393803,0.058463533804715223,0.054365142117851609,0.063962663460024868,0.002218642239500588,100
condition0,Aspartate,aspartate,1,M+1,0.11594449858387007,0.11841945801558268,0.083608961357620984,0.12751230476846748,0.008762678988210662,100
condition0,Aspartate,aspartate,2,M+2,0.20795845048148906,0.20309853417761903,0.18100121087126186,0.27457125518702202,0.018823622130985429,100
condition0,Aspartate,aspartate,3,M+3,0.20087146916383619,0.20193468236556703,0.1737776189190573,0.2081431190268575,0.0052268028503056922,100
condition0,Aspartate,aspartate,4,M+4,0.41638104824041067,0.41565880211267869,0.40655993450261485,0.42771173664495626,0.00495919191545515,100
condition0,Glycine,glycine,0,M+0,0.2653209180537322,0.26594850604269216,0.24798403226175603,0.28030363864114616,0.0059700400628889651,100
condition0,Glycine,glycine,1,M+1,0.069358163892535518,0.068102987914615679,0.039392722717707676,0.10403193547648808,0.011940080125777932,100
condition0,Glycine,glycine,2,M+2,0.66532091805373217,0.66594850604269218,0.64798403226175616,0.68030363864114607,0.0059700400628889564,100
condition0,Serine,serine,0,M+0,0.2653209180537322,0.26594850604269216,0.24798403226175603,0.28030363864114616,0.0059700400628889651,100
condition0,Serine,serine,1,M+1,0.034679081946267759,0.034051493957307839,0.019696361358853838,0.052015967738244039,0.005970040062888966,100
condition0,Serine,serine,2,M+2,0.034679081946267759,0.034051493957307839,0.019696361358853838,0.052015967738244039,0.0059700400628889677,100
condition0,Serine,serine,3,M+3,0.66532091805373217,0.66594850604269218,0.64798403226175616,0.68030363864114607,0.0059700400628889564,100
condition1,Pyruvate,pyruvate,0,M+0,0.29830589507356853,0.2984553589519181,0.29664506176486638,0.2997540923714983,0.00068554664210518856,100
