condition,state_id,target_name,internal_target_id,direct_or_reporter,carbon_count,mass_index,mass_isotopologue,fraction
condition0,theta0_sample_002,Succinate,succinate,direct,4,3,M+3,0.18655382484915195
condition0,theta0_sample_002,Succinate,succinate,direct,4,4,M+4,0.39521477834342833
condition0,theta0_sample_002,Fumarate,fumarate,direct,4,0,M+0,0.050239653136895074
condition0,theta0_sample_002,Fumarate,fumarate,direct,4,1,M+1,0.076504075262219931
condition0,theta0_sample_002,Fumarate,fumarate,direct,4,2,M+2,0.29148766840830276
condition0,theta0_sample_002,Fumarate,fumarate,direct,4,3,M+3,0.18655382484915195
condition0,theta0_sample_002,Fumarate,fumarate,direct,4,4,M+4,0.39521477834342833
condition0,theta0_sample_002,Malate,malate,direct,4,0,M+0,0.050244318438151289
condition0,theta0_sample_002,Malate,malate,direct,4,1,M+1,0.07649513389937164
condition0,theta0_sample_002,Malate,malate,direct,4,2,M+2,0.2915027004262713
condition0,theta0_sample_002,Malate,malate,direct,4,3,M+3,0.18653192369673485
condition0,theta0_sample_002,Malate,malate,direct,4,4,M+4,0.39522592353946895
condition0,theta0_sample_002,Glutamine,glutamine,direct,5,0,M+0,0.022279063935261044
condition0,theta0_sample_002,Glutamine,glutamine,direct,5,1,M+1,0.061122684111183302
condition0,theta0_sample_002,Glutamine,glutamine,direct,5,2,M+2,0.13199091088574799
condition0,theta0_sample_002,Glutamine,glutamine,direct,5,3,M+3,0.28035861963759079
condition0,theta0_sample_002,Glutamine,glutamine,direct,5,4,M+4,0.18742397194653287
condition0,theta0_sample_002,Glutamine,glutamine,direct,5,5,M+5,0.31682474948368194
condition0,theta0_sample_002,Aspartate,aspartate,reporter,4,0,M+0,0.062152166733872687
condition0,theta0_sample_002,Aspartate,aspartate,reporter,4,1,M+1,0.12470972336481505
condition0,theta0_sample_002,Aspartate,aspartate,reporter,4,2,M+2,0.18777366658195385
condition0,theta0_sample_002,Aspartate,aspartate,reporter,4,3,M+3,0.20171482980615432
condition0,theta0_sample_002,Aspartate,aspartate,reporter,4,4,M+4,0.42364961351320241
condition0,theta0_sample_002,Glycine,glycine,reporter,2,0,M+0,0.27042216622653104
condition0,theta0_sample_002,Glycine,glycine,reporter,2,1,M+1,0.059155667546937754
condition0,theta0_sample_002,Glycine,glycine,reporter,2,2,M+2,0.67042216622653072
condition0,theta0_sample_002,Serine,serine,reporter,3,0,M+0,0.27042216622653104
condition0,theta0_sample_002,Serine,serine,reporter,3,1,M+1,0.029577833773468877
condition0,theta0_sample_002,Serine,serine,reporter,3,2,M+2,0.029577833773468877
condition0,theta0_sample_002,Serine,serine,reporter,3,3,M+3,0.67042216622653072
condition0,theta0_sample_003,Pyruvate,pyruvate,direct,3,0,M+0,0.24814085700616642
condition0,theta0_sample_003,Pyruvate,pyruvate,direct,3,1,M+1,0.050533481283051462
condition0,theta0_sample_003,Pyruvate,pyruvate,direct,3,2,M+2,0.054510466415397502
condition0,theta0_sample_003,Pyruvate,pyruvate,direct,3,3,M+3,0.64681519529538423
condition0,theta0_sample_003,Alanine,alanine,reporter,3,0,M+0,0.24814085700616642
condition0,theta0_sample_003,Alanine,alanine,reporter,3,1,M+1,0.050533481283051462
condition0,theta0_sample_003,Alanine,alanine,reporter,3,2,M+2,0.054510466415397502
condition0,theta0_sample_003,Alanine,alanine,reporter,3,3,M+3,0.64681519529538423
condition0,theta0_sample_003,Lactate,lactate,reporter,3,0,M+0,0.24814085700616642
condition0,theta0_sample_003,Lactate,lactate,reporter,3,1,M+1,0.050533481283051462
condition0,theta0_sample_003,Lactate,lactate,reporter,3,2,M+2,0.054510466415397502
condition0,theta0_sample_003,Lactate,lactate,reporter,3,3,M+3,0.64681519529538423
condition0,theta0_sample_003,Citrate,citrate,reporter,6,0,M+0,0.017091766598377422
condition0,theta0_sample_003,Citrate,citrate,reporter,6,1,M+1,0.035031160827612283
condition0,theta0_sample_003,Citrate,citrate,reporter,6,2,M+2,0.10272747200791653
condition0,theta0_sample_003,Citrate,citrate,reporter,6,3,M+3,0.14324165672847461
condition0,theta0_sample_003,Citrate,citrate,reporter,6,4,M+4,0.26713086851702184
condition0,theta0_sample_003,Citrate,citrate,reporter,6,5,M+5,0.14739700102053774
condition0,theta0_sample_003,Citrate,citrate,reporter,6,6,M+6,0.28738007430005813
condition0,theta0_sample_003,aKG,akg,direct,5,0,M+0,0.02243494374059064
condition0,theta0_sample_003,aKG,akg,direct,5,1,M+1,0.061238914929928952
condition0,theta0_sample_003,aKG,akg,direct,5,2,M+2,0.13184734202894444
condition0,theta0_sample_003,aKG,akg,direct,5,3,M+3,0.28062220154387102
condition0,theta0_sample_003,aKG,akg,direct,5,4,M+4,0.18608319240275384
condition0,theta0_sample_003,aKG,akg,direct,5,5,M+5,0.31777340535390997
condition0,theta0_sample_003,Succinate,succinate,direct,4,0,M+0,0.049186410204221556
condition0,theta0_sample_003,Succinate,succinate,direct,4,1,M+1,0.079183807105889487
condition0,theta0_sample_003,Succinate,succinate,direct,4,2,M+2,0.28721253066162789
