time,metabolite,mass_isotopologue,fraction
0.05,fumarate,M+1,0.0821249520321673
0.05,fumarate,M+2,0.0812418860541692
0.05,fumarate,M+3,0.000885102432690237
0.05,fumarate,M+4,6.78818230707626e-07
0.1,fumarate,M+0,0.654443000614958
0.1,fumarate,M+1,0.172413096706752
0.1,fumarate,M+2,0.157866861771829
0.1,fumarate,M+3,0.0150943394135764
0.1,fumarate,M+4,0.000182701492884281
0.5,fumarate,M+0,0.547927176670229
0.5,fumarate,M+1,0.211475644442344
0.5,fumarate,M+2,0.182284319656329
0.5,fumarate,M+3,0.0510324756282631
0.5,fumarate,M+4,0.00728038361260467
1,fumarate,M+0,0.547917048234313
1,fumarate,M+1,0.211458785367675
1,fumarate,M+2,0.182291364336363
1,fumarate,M+3,0.0510414568038066
1,fumarate,M+4,0.00729134525764634
2,fumarate,M+0,0.547916834239946
2,fumarate,M+1,0.21145852928993
2,fumarate,M+2,0.182291534926826
2,fumarate,M+3,0.0510415747478747
2,fumarate,M+4,0.00729152679498308
0,glutamate,M+0,1
0,glutamate,M+1,0
0,glutamate,M+2,0
0,glutamate,M+3,0
0,glutamate,M+4,0
0,glutamate,M+5,0
0.001,glutamate,M+0,0.999922025261936
0.001,glutamate,M+1,3.89873690320454e-05
0.001,glutamate,M+2,3.89873690320454e-05
0.001,glutamate,M+3,0
0.001,glutamate,M+4,0
0.001,glutamate,M+5,0
0.01,glutamate,M+0,0.977409768549777
0.01,glutamate,M+1,0.0112949960970531
0.01,glutamate,M+2,0.011294936283035
0.01,glutamate,M+3,2.39256104534186e-07
0.01,glutamate,M+4,5.98140291248675e-08
0.01,glutamate,M+5,9.20406449476549e-16
0.05,glutamate,M+0,0.629812814048021
0.05,glutamate,M+1,0.183350025550648
0.05,glutamate,M+2,0.182489855355034
0.05,glutamate,M+3,0.00347455262922321
0.05,glutamate,M+4,0.000871783712670645
0.05,glutamate,M+5,9.68704402644431e-07
0.1,glutamate,M+0,0.446905934184469
0.1,glutamate,M+1,0.259101722869813
0.1,glutamate,M+2,0.252015108080905
0.1,glutamate,M+3,0.0331154149196742
0.1,glutamate,M+4,0.00872265501897609
0.1,glutamate,M+5,0.000139164926162847
0.5,glutamate,M+0,0.346374756581091
0.5,glutamate,M+1,0.269548482436005
0.5,glutamate,M+2,0.270825000993184
0.5,glutamate,M+3,0.0807155884605603
0.5,glutamate,M+4,0.0286320696395553
0.5,glutamate,M+5,0.00390410190347215
1,glutamate,M+0,0.34635457936639
1,glutamate,M+1,0.269531714119335
1,glutamate,M+2,0.270833408640553
1,glutamate,M+3,0.0807287531197908
1,glutamate,M+4,0.0286454980987392
1,glutamate,M+5,0.00390604665590404
2,glutamate,M+0,0.346354346990081
2,glutamate,M+1,0.269531451985957
2,glutamate,M+2,0.270833366575032
2,glutamate,M+3,0.0807289860282653
2,glutamate,M+4,0.0286456872594509
2,glutamate,M+5,0.0039061611618856
